"portfolio","mean","top_1","top_5","top_10","top_20"
"bootstrapped",-1.4667835651,0.00612,0.03099,0.06137,0.12235
"rank optimization (q=1)",-5.99624380506625,0.03434,0.08867,0.12582,0.18189
"rank optimization (q=20)",-1.37811890749873,0.00651,0.05432,0.13797,0.27808
