1;7830dcbb Lucas test;3.5;0.15308;3;9.33905;4
2;db080390 mees_STU;8;0.15324;4;5.58382;12
3;5004c81c Burakhan Sel_STU;11.5;0.15424;9;5.39791;14
4;c25cdff0 Pansos Ponso;16.5;0.15459;11;3.83547;22
5;f5d74bfb Bruce;17.5;0.1555;19;4.70342;16
6;41c16cc4 Felix_STU;20;0.155;13;2.96102;27
6;921f735d PortfolioQuant;20;0.15557;20;4.13331;20
8;db21f28b 21;24;0.15337;5;1.8234;43
9;4db767b2 Ram_M6;27;0.15706;37;4.69825;17
9;f8fbd1bf Selamlar H.T.(Ataforecasting);27;0.15781;44;6.09078;10
11;2b8b032c AEML_Inha;28;0.15566;21;2.47898;35
12;d562f28c Super3;29.5;0.15965;54;7.02845;5
13;cd35061c demir;31.5;0.15466;12;1.41057;51
14;7cb34dbb SebastianR;34;0.15439;10;1.33818;58
15;3900b673 Stochoshi;35.5;0.15905;50;3.96321;21
16;bb1459bc baran_STU;36;0.15391;7;1.23764;65
17;71b47b97 microprediction.org;38.5;0.15658;30;1.63206;47
18;cd597d34 StanekF_STU (CERGE-EI);41;0.15604;23;1.3222;59
18;47dd8149 MyBloodyValentine;41;0.15925;51;2.74586;31
20;b3bbdb72 ankit;41.25;0.16;76.5;6.58625;6
21;b681845b Ludo;41.5;0.15691;35;1.59682;48
22;bc9c8c4c geo;41.75;0.16;76.5;6.34469;7
23;1995b9c2 FunWithFlags;42.25;0.16;76.5;6.21272;8
24;b1002bc9 AdaGaussMC_STU;46.5;0.15755;43;1.43447;50
25;b4977cb7 DLM_CX;47.5;0.15708;38;1.34963;57
26;cd4803dc deathReaper0965;49.5;0.16037;96;9.88284;3
27;bfd7c457 Minore;54;0.16095;107;11.44559;1
28;5c0347cc cantabrigian;59.5;0.15532;17;0.82423;102
29;31bb28c9 ouranos;60;0.15958;53;1.22834;67
30;d10b6093 srrsrr;62.75;0.16;76.5;1.53828;49
31;c29fbf4f idatafactory;63.5;0.15356;6;0.12137;121
31;644389bc lifters;63.5;0.15566;22;0.72988;105
31;b17cd734 OPPO XZ Lab;63.5;0.15685;33;1.01776;94
34;c261b5c3 Alfa;64.25;0.16;76.5;1.40036;52
35;c8f498d2 OCI Forecasting Team;64.5;0.16637;127;10.06977;2
35;4cb8b66c Spoonman;64.5;0.16058;100;2.77324;29
37;bccf94bb namaste_STU;69;0.15638;27;0.60225;111
38;1374c1f1 Lo Kheng Hong;70;0.15687;34;0.72355;106
39;5c28385b Meteora;71;0.16094;106;2.46676;36
40;b4dd7019 CUFE;72;0.1588;47;0.97452;97
40;89c29b7d washi_wa_ou;72;0.16815;129;4.72403;15
42;08986844 Peters_STU;73.5;0.15632;24;-0.03753;123
43;5c7bb709 rnrq;74;0.15793;45;0.81361;103
44;15db49cb bingo;76.75;0.16;76.5;1.21453;77
44;b2b1cbc6 exdelphi;76.75;0.16;76.5;1.21453;77
44;2c78c015 flsck;76.75;0.16;76.5;1.21453;77
44;2c1cbbbf Fortuneteller;76.75;0.16;76.5;1.21453;77
44;3653df28 fright131;76.75;0.16;76.5;1.21453;77
44;47dc617b gmobaz;76.75;0.16;76.5;1.21453;77
44;2d729675 JackofAllTrades;76.75;0.16;76.5;1.21453;77
44;76fcf359 joechr_STU;76.75;0.16;76.5;1.21453;77
44;d04974fb jp_th;76.75;0.16;76.5;1.21453;77
44;dd8bb8b0 Jupayters;76.75;0.16;76.5;1.21453;77
44;880fbc83 lsa;76.75;0.16;76.5;1.21453;77
44;32cdcc24 M6 Dummy;76.75;0.16;76.5;1.21453;77
44;cc316613 pipixia;76.75;0.16;76.5;1.21453;77
44;4bc7fc70 STATS-UFBA-STU;76.75;0.16;76.5;1.21453;77
44;34cf2f3f Team Sahand;76.75;0.16;76.5;1.21453;77
44;6193fbd1 vhs;76.75;0.16;76.5;1.21453;77
60;0102b20c Apollo;77;0.16621;126;2.88091;28
60;66752bbc Inve$t;77;0.17506;143;5.86382;11
62;14cbb019 NEOMABS_STU;77.5;0.16031;95;1.29499;60
62;91716b78 RaduR;77.5;0.15535;18;-0.56655;137
64;d252b0cc Angel Lordan BCN;78.5;0.16179;113;1.80336;44
64;cfd8f183 Dan;78.5;0.1568;32;-0.10275;125
66;917cb964 aggrwl;79.5;0.17037;133;3.0457;26
66;86458890 HMMBySJ;79.5;0.18046;146;5.46139;13
66;dcc0145b Stonks;79.5;0.1604;98;1.2888;61
69;388c6ccc Dileep;80;0.15991;59;0.86233;101
69;916fdfd9 TheRiskTakers;80;0.17127;136;3.70854;24
71;bc4b0314 MarcoGorelli (????? ???????!);80.5;0.15637;26;-0.52845;135
72;067500b1 FlashCrash;81;0.16123;108;1.36538;54
72;4b556c23 Up-and-Down;81;0.15522;15;-1.18504;147
74;83b5b440 Orca_STU;83;0.15713;40;-0.19893;126
75;d707cb75 M4-SL;83.5;0.15633;25;-0.87793;142
76;1cd83ccc Hustlers;84;0.16085;104;1.24029;64
77;12b14bfc Drazencap;86.5;0.21144;164;6.1074;9
77;c53b3306 TKIM;86.5;0.15738;41;-0.42387;132
77;d50c10cd Wallace;86.5;0.18088;148;3.55802;25
80;9bd75044 Datasolution;87.5;0.1795;145;2.75295;30
81;b974c16c Airlab;87.75;0.16;76.5;0.87305;99
82;dd807d74 noname;88;0.15413;8;-2.40602;168
82;dcc4c022 Porto ( Serafettin Gunes ) ;88;0.17463;142;2.53119;34
84;c3b8d4fc us3;89.5;0.17199;137;1.86139;42
85;2ddbfd56 impulsive response;90;0.15289;1;-5.71557;179
86;9b7bb959 LAIR;90.5;0.15504;14;-2.27941;167
86;709c0c35 Snaua;90.5;0.15705;36;-1.13635;145
88;3b28f32c Shipwreck;91;0.16085;105;1.21453;77
89;2bc96665 Command Line Heroes;92;0.17273;138;1.70733;46
90;c47b9db1 Numerical Stochastics;92.25;0.169;131.5;1.38064;53
91;1bdff261 Arnoud;92.5;0.16038;97;1.17994;88
92;87852799 NAU;93;0.22456;168;4.69383;18
93;bbf60ff1 Handel;93.5;0.15667;31;-1.54066;156
93;dfcb064c hm2200;93.5;0.15304;2;-10.19344;185
95;6f6dc500 Evergi;94;0.16144;111;1.21453;77
95;ccb2bfb9 Quantmetry;94;0.22504;169;4.40367;19
97;d64f73c2 Advanced Analytics Team;94.25;0.16;76.5;0.54406;112
98;515b11f9 Venu;94.5;0.15901;49;-0.7506;140
99;78cc44f1 RocketShip AI;95;0.22238;167;3.73799;23
100;d5571172 alsabtay;96;0.15644;28;-2.18469;164
100;611c19d0 Chris Miles;96;0.15977;56;-0.53896;136
102;3cd1929f Thedenizens;97;0.17275;139;1.35413;55
103;f743b142 SimpleBest;98;0.18174;151;1.72175;45
104;38c7fc7b MP - Miguel Pérez Michaus;98.5;0.15532;16;-6.51783;181
104;22dcdc75 VTAI;98.5;0.19326;158;2.1394;39
106;20fbd380 smart;99;0.1932;157;1.92094;41
107;b5188797 Cognitive outside;99.5;0.15645;29;-2.86675;170
107;c674f84b MORPHEMIC;99.5;0.15829;46;-1.47477;153
109;b875c91c Alcácer;100;0.15742;42;-1.6167;158
110;ccbb0fd2 market_bulls;100.5;0.16411;124;1.21453;77
111;656bb49c BayesianIsFun;101.5;0.24192;171;2.6196;32
112;b57b89cd ott rush rush rush;102.75;0.16;76.5;-0.29837;129
113;1240bcc8 cn ccc;103.5;0.15977;57;-1.41634;150
113;90d29bb6 InvesTUM;103.5;0.28;174;2.55851;33
115;d18b809d VC;104;0.16281;117;1.06807;91
116;25db2913 Can't spell Gratitude without Guacamole;104.75;0.16;76.5;-0.50099;133
117;84d63b80 forengeeks;105;0.16144;110;0.86262;100
117;f4767b9c M37;105;0.256;172;2.16964;38
117;dd543bd7 Innovation Team (Mathco);105;0.15967;55;-1.50865;155
120;2f030cc5 Sushant;105.25;0.16;76.5;-0.52642;134
121;5fc3bcc4 FAB;106;0.18107;149;1.26678;63
122;8c90882c Brick Tamland;106.5;0.18083;147;1.23406;66
122;bbb3c357 Galloping Gargoyles;106.5;0.15936;52;-1.87454;161
122;5f3cc21b garch_chen;106.5;0.15711;39;-4.00204;174
125;d5c78bbc dummy;107.25;0.16;76.5;-0.63286;138
126;538b0bb5 Olex;107.5;0.1956;159;1.35017;56
127;fb07c974 FabulousFab;108;0.18696;154;1.2709;62
127;2b6cb11d Team_QWERTY;108;0.16405;123;1.04738;93
129;7139c8db Planned_Obsolescence_STU;108.5;0.312;180;2.35642;37
130;787d2872 JaimeLluch;109;0.16356;122;0.9838;96
131;b42b1297 deffro;109.5;0.15893;48;-3.28594;171
132;9d85d570 SEFA_SAGLAM;109.75;0.16;76.5;-0.90174;143
133;f067b9f5 Europans;110.25;0.169;131.5;1.0913;89
134;68184fcd Sigma Grindset;111;0.31655;182;2.13115;40
135;3d227c13 Spyros M;112.25;0.16;76.5;-1.25295;148
136;5257c582 GSub;113;0.15996;60;-2.2728;166
136;014dbdb4 OMBeasts;113;0.16171;112;0.49974;114
138;3862cc83 Dull AI;115.5;0.16132;109;0.0412;122
138;39b9b3b1 gvg_1327;115.5;0.17731;144;1.20974;87
140;380c6343 PREMIA;116.5;0.16195;114;0.34921;119
141;856618c2 aaron1339;116.75;0.16;76.5;-1.54163;157
142;c9b02591 ol;118;0.16291;118;0.40544;118
143;0b1bfb9c T;119;0.16044;99;-0.66893;139
143;0db5fc0c USYD_PRAZ;119;0.1599;58;-6.11458;180
145;b6b963b5 ds;119.25;0.16;76.5;-2.06042;162
146;c34d255b MM_STU;120;0.1689;130;0.63455;110
147;dfb3c499 Navi;121.5;0.16021;94;-1.27382;149
148;b3d7dbc2 ENJINE;122;0.16741;128;0.42209;116
149;9bf7ccb3 auto.arima and a dream;122.5;0.18455;153;1.06485;92
150;5fbf807c Guy in NYC;122.75;0.16;76.5;-2.73845;169
151;5ff2c089 edo-gin;123.5;0.17058;134;0.5041;113
151;190cb995 Placeholder;123.5;0.17297;140;0.71129;107
153;db442696 berserk_HKU;125;0.1969;160;1.08121;90
154;d874631c wp;126;0.16469;125;-0.23704;127
155;60b1d9cc Pike Place Bets;129.5;0.1622;115;-1.10286;144
155;8c13bdf6 Probabilistic Forecaster _STU;129.5;0.18146;150;0.69316;109
157;cdbd56c7 Mukul;130.5;0.1606;101;-1.80016;160
