69;4bc7fc70 STATS-UFBA-STU;94.25;0.16;83.5;-0.0173;105
69;34cf2f3f Team Sahand;94.25;0.16;83.5;-0.0173;105
69;6193fbd1 vhs;94.25;0.16;83.5;-0.0173;105
89;bccf94bb namaste_STU;95.5;0.16008;107;0.36606;84
89;538b0bb5 Olex;95.5;0.2012;187;8.52534;4
91;917cb964 aggrwl;97;0.16575;145;1.5893;49
92;916fdfd9 TheRiskTakers;98;0.16728;150;2.07567;46
93;6954b3b1 buffet;98.5;0.20994;192;8.41962;5
93;08986844 Peters_STU;98.5;0.1579;35;-1.41878;162
95;d874631c wp;99;0.16019;109;0.14059;89
96;c47b9db1 Numerical Stochastics;99.5;0.1615;127;0.77675;72
97;3900b673 Stochoshi;100;0.1648;139;1.0602;61
98;c25cdff0 Pansos Ponso;102.5;0.15576;17;-3.44161;188
98;d50c10cd Wallace;102.5;0.15021;3;-5.67851;202
100;59405297 Hamid;104.5;0.21117;193;4.392;16
101;0cf24559 Equally Weighted;104.75;0.16;83.5;-0.36453;126
102;c261b5c3 Alfa;106.75;0.16;83.5;-0.44778;130
103;12b14bfc Drazencap;107.5;0.21584;195;4.09421;20
103;f743b142 SimpleBest;107.5;0.176;164;1.52328;51
103;cf2d56c6 Delta;107.5;0.16604;147;0.92656;68
106;8c90882c Brick Tamland;109;0.17492;163;1.19707;55
106;68b86572 Gram;109;0.15818;39;-2.47782;179
108;f067b9f5 Europans;109.25;0.164;135.5;0.37584;83
109;9bf7ccb3 auto.arima and a dream;110;0.16487;142;0.48469;78
110;2ddbfd56 impulsive response;111.5;0.1504;4;-10.24966;219
111;2bc96665 Command Line Heroes;112;0.19594;182;2.25399;42
112;83b5b440 Orca_STU;112.5;0.16109;120;-0.0173;105
113;0bdd6c11 Forctech_STU;113;0.20832;190;2.83038;36
113;872bdbc9 Tilefish Poele;113;0.302;219;8.1939;7
115;1bdff261 Arnoud;115.5;0.16038;113;-0.1176;118
116;db080390 mees_STU;116;0.15579;18;-7.15374;214
117;5ff2c089 edo-gin;117;0.17049;155;0.48428;79
117;bbf60ff1 Handel;117;0.15741;30;-5.78656;204
119;ffbf60c3 Dodger Federer ;118;0.27119;212;3.86848;24
119;cd8c18b2 Novartis;118;0.18705;177;1.10059;59
121;07c9170b Dream Team;118.25;0.16;83.5;-0.99283;153
122;c34d255b MM_STU;119.25;0.16;83.5;-1.02174;155
123;121c1584 Blue and Gold;120.5;0.20962;191;1.53573;50
124;f250dfc3 AM naïve;121.5;0.15762;31;-6.73778;212
125;db21f28b 21;122;0.15778;33;-6.63836;211
125;9b7bb959 LAIR;122;0.1595;54;-3.60041;190
125;921f735d PortfolioQuant;122;0.16953;154;0.05381;90
128;d707cb75 M4-SL;122.5;0.15717;27;-9.53416;218
129;66179d1b ISDS_ZSL;124;0.19108;179;0.88928;69
129;ccbb0fd2 market_bulls;124;0.1657;143;-0.0173;105
129;dd807d74 noname;124;0.15868;47;-5.55825;201
132;373b51b4 Chaotician;125;0.272;213;2.70948;37
133;2f030cc5 Sushant;125.25;0.16;83.5;-1.79312;167
134;f8fbd1bf Selamlar H.T.(Ataforecasting);125.5;0.15873;48;-5.78253;203
135;644389bc lifters;126;0.15983;58;-4.33772;194
136;014dbdb4 OMBeasts;127;0.16375;134;-0.18757;120
137;d18b809d VC;127.5;0.1791;170;0.34099;85
138;b974c16c Airlab;128.25;0.16;83.5;-2.39292;173
139;21b46979 EnterTheData;128.5;0.19617;184;0.75092;73
140;3b28f32c Shipwreck;129;0.16952;153;-0.0173;105
141;169b45f0 Overfitters;129.5;0.3;218;2.27995;41
142;d64f73c2 Advanced Analytics Team;129.75;0.16;83.5;-2.44697;176
143;0b1bfb9c T;130.5;0.1594;52;-6.60536;209
144;98669526 Lion DS;132;0.25652;207;1.16612;57
144;691078fd Wellerman_STU;132;0.1723;159;-0.0173;105
146;b6b963b5 ds;132.25;0.16;83.5;-2.60057;181
147;8cd1270d 11-17;132.75;0.16;83.5;-2.88078;182
148;c674f84b MORPHEMIC;133;0.15998;61;-6.14059;205
149;dd543bd7 Innovation Team (Mathco);133.5;0.16115;121;-0.66363;146
150;b4329c4b Old School;134;0.2736;215;1.49839;53
151;709c0c35 Snaua;136;0.1604;114;-1.24406;158
152;39b9b3b1 gvg_1327;136.5;0.16464;138;-0.52542;135
152;7452c9c7 Jules_STU;136.5;0.34718;221;1.5168;52
154;63cd6976 EGA;137.75;0.16;83.5;-4.27444;192
155;611c19d0 Chris Miles;139;0.16011;108;-2.1227;170
156;856618c2 aaron1339;139.25;0.16;83.5;-4.59126;195
157;87852799 NAU;139.5;0.27336;214;0.96113;65
157;07449c03 TSCOE;139.5;0.21882;198;0.42854;81
159;9d85d570 SEFA_SAGLAM;140.25;0.16;83.5;-4.80559;197
160;b875c91c Alcácer;142;0.16107;119;-1.63441;165
161;b3bbdb72 ankit;142.5;0.17137;156;-0.41902;129
162;515b11f9 Venu;143;0.16482;141;-0.61209;145
163;787d2872 JaimeLluch;144.5;0.16591;146;-0.58558;143
164;dfb3c499 Navi;145;0.16202;129;-1.34882;161
165;9bd75044 Datasolution;145.5;0.24941;204;0.24366;87
165;2b6cb11d Team_QWERTY;145.5;0.17836;169;-0.25289;122
167;5c28385b Meteora;147.25;0.164;135.5;-1.27421;159
168;5fc3bcc4 FAB;147.5;0.24735;203;-0.01445;92
169;dcc4c022 Porto ( Serafettin Gunes ) ;148.5;0.16146;126;-2.1888;171
169;0db5fc0c USYD_PRAZ;148.5;0.17621;165;-0.46969;132
171;b4264c50 HTW Berlin;149;0.17491;162;-0.53073;136
172;bc9c8c4c geo;149.75;0.16;83.5;-8.39847;216
173;1cd83ccc Hustlers;151;0.16085;117;-3.02265;185
173;d562f28c Super3;151;0.16061;116;-3.2517;186
173;3cd1929f Thedenizens;151;0.17336;160;-0.58478;142
176;190cb995 Placeholder;153.5;0.17661;166;-0.58081;141
176;1d3cd369 Big Short;153.5;0.16221;130;-2.46684;177
178;067500b1 FlashCrash;154;0.16643;148;-1.27904;160
179;8c13bdf6 Probabilistic Forecaster _STU;154.5;0.18799;178;-0.44801;131
180;f371b8c4 LRSD;155;0.253;205;-0.0173;105
181;c3b8d4fc us3;156;0.18272;175;-0.53355;137
182;db442696 berserk_HKU;157;0.19551;181;-0.5036;133
183;20fbd380 smart;157.5;0.1672;149;-1.73338;166
183;dcc0145b Stonks;157.5;0.1627;132;-2.99882;183
185;47dd8149 MyBloodyValentine;161;0.1613;123;-4.96113;199
185;203bb693 SKIZIODS;161;0.1613;122;-5.37382;200
187;bbbd2099 Flashsale;161.5;0.1809;173;-0.83322;150
188;cd4803dc deathReaper0965;162;0.16574;144;-2.53949;180
189;619c4b98 QuantFreaks;162.5;0.17164;157;-1.9577;168
190;ccfb51dc Submission9;164;0.19503;180;-0.80178;148
191;551833fc DeuStat_Grad.project_STU;166.5;0.16026;111;-13.05829;222
192;b3d7dbc2 ENJINE;167;0.19986;185;-0.81478;149
193;fb07c974 FabulousFab;167.5;0.19595;183;-0.92072;152
194;30c5c41c Axios;168;0.16482;140;-4.6507;196
194;9078bb5f Computer says no;168;0.28;217;-0.14262;119
196;23c126bd golda2000;169;0.2113;194;-0.59698;144
197;3862cc83 Dull AI;170;0.17808;168;-2.2401;172
198;3b48240b PowerForecast.S;172.5;0.20476;188;-1.15633;157
199;41c16cc4 Felix_STU;173.5;0.1641;137;-6.61006;210
200;9ddb66b4 FUW Patrol_STU;175;0.2786;216;-0.50997;134
200;263fb01c vikas;175;0.18016;172;-2.46876;178
202;f4767b9c M37;178.5;0.268;210;-0.67421;147
203;d9bc9425 chicken_STU;179;0.32376;220;-0.54641;138
204;25db2913 Can't spell Gratitude without Guacamole;180.5;0.2007;186;-2.41152;175
204;90d29bb6 InvesTUM;180.5;0.268;210;-0.83883;151
206;0102b20c Apollo;182;0.16897;151;-6.87502;213
206;b0f38c03 Cortecs;182;0.2232;200;-1.43544;164
208;37888cb7 Pain;183.5;0.18185;174;-4.277;193
209;656bb49c BayesianIsFun;185.5;0.2411;202;-2.00469;169
210;f24358d7 Erol&Eren;186.5;0.268;210;-1.41893;163
211;5004c81c Burakhan Sel_STU;189;0.17197;158;-11.0233;220
212;6133c0d7 Proexe;190.5;0.21867;197;-3.02028;184
213;66c4f4fd M6 Team RU;191;0.18682;176;-6.19357;206
213;89c29b7d washi_wa_ou;191;0.17663;167;-8.18215;215
215;c8f498d2 OCI Forecasting Team;192;0.1742;161;-13.49131;223
216;f5d74bfb Bruce;193.5;0.21658;196;-3.70648;191
217;0509c220 Droid;198;0.2076;189;-6.30798;207
218;7589718c DeepFuture;203;0.25708;208;-4.94509;198
219;7830dcbb Lucas test;203.5;0.22046;199;-6.35771;208
220;7139c8db Planned_Obsolescence_STU;205;0.356;223;-3.28658;187
221;48cf320f ML6team;205.5;0.348;222;-3.59302;189
222;47604324 FRONTLEARNERS - DAILA;211;0.23194;201;-12.63224;221
223;78cc44f1 RocketShip AI;211.5;0.25478;206;-8.78344;217
