1;787d2872 JaimeLluch;2.5;0.14722;2;9.10119;3
2;014dbdb4 OMBeasts;5.5;0.15015;5;8.15873;6
3;ccfb51dc Submission9;9.5;0.15035;6;7.48454;13
4;d874631c wp;14;0.15255;9;6.91775;19
5;611c19d0 Chris Miles;15.5;0.1554;19;7.53963;12
6;c9b02591 ol;17.5;0.1555;21;7.36869;14
7;cf2d56c6 Delta;24.75;0.15731;40.5;7.93511;9
8;d707cb75 M4-SL;26;0.15291;11;5.57173;41
9;cd597d34 StanekF_STU (CERGE-EI);27;0.15173;7;5.17114;47
10;8c13bdf6 Probabilistic Forecaster _STU;29;0.15824;54;9.092;4
11;ccb2bfb9 Quantmetry;30.25;0.15731;40.5;6.87062;20
12;6c0bc3bb ecmu_STU;36;0.15847;56;7.18902;16
13;08986844 Peters_STU;36.5;0.15774;46;6.36712;27
14;31bb28c9 ouranos;37.5;0.1571;36;5.63935;39
15;3b28f32c Shipwreck;40;0.15463;16;5.12181;64
16;921f735d PortfolioQuant;41;0.15794;48;6.03551;34
17;515b11f9 Venu;43.5;0.1597;63.5;6.65963;23.5
18;66c4f4fd M6 Team RU;46;0.15956;61;6.22237;31
19;3d227c13 Spyros M;46.75;0.16;91.5;9.1348;2
20;71b47b97 microprediction.org;48.5;0.15818;52;5.25879;45
21;d64f73c2 Advanced Analytics Team;49.75;0.16;91.5;8.00596;8
22;ccbb0fd2 market_bulls;50.5;0.1571;37;5.12181;64
23;8cd1270d 11-17;50.75;0.16;91.5;7.79979;10
24;5c0347cc cantabrigian;53.5;0.15528;18;4.42402;89
25;07c9170b Dream Team;54.75;0.16;91.5;6.93839;18
26;1bdff261 Arnoud;55;0.15958;62;5.16941;48
26;7b0d1f9c SCOLO MORA;55;0.15597;25;4.54888;85
28;2f030cc5 Sushant;56.25;0.16;91.5;6.86607;21
29;1374c1f1 Lo Kheng Hong;57.5;0.15613;28;4.47113;87
29;1d3cd369 Big Short;57.5;0.16;91.5;6.65963;23.5
31;856618c2 aaron1339;58.75;0.16;91.5;6.44994;26
32;644389bc lifters;61;0.15724;39;4.59016;83
33;83b5b440 Orca_STU;61.5;0.15893;59;5.12181;64
34;60b1d9cc Pike Place Bets;62.5;0.1526;10;2.85603;115
35;015c8cbd Kiwi;63;0.15398;12;2.89194;114
36;d13904b7 ST18_STU;63.25;0.16;91.5;5.8809;35
